Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
162,Cardio_peak_freq_24hr,162,043/kerosine(DUPLICATE),101.4030405,107.5212528,115.585775,108.9170651,-0.529345503
163,Cardio_peak_freq_24hr,163,184/VHGO(DUPLICATE),98.91923565,117.8255034,154.1708838,0,1.606194597
164,Cardio_peak_freq_24hr,164,083/UATO(DUPLICATE),97.25577004,111.4362416,151.5549442,0,1.637343428
165,Cardio_peak_freq_24hr,165,091/HFO(DUPLICATE),99.23825645,119.9552573,143.7555688,0,1.620163874
166,Cardio_peak_freq_24hr,166,076/gasoline(DUPLICATE),98.39513005,118.98434,110.7414424,97.08307351,-0.445770585
167,Cardio_peak_freq_24hr,167,020/HFO(DUPLICATE),100.4459781,118.0447427,117.1844047,86.32993834,2
168,Cardio_peak_freq_24hr,168,192/BITUMENS(DUPLICATE),97.07347244,107.3646532,105.6306715,102.2102127,2
169,Cardio_peak_freq_24hr,169,177/VHGO(DUPLICATE),101.4486149,111.5615213,116.0944299,115.1527749,-0.788688304
170,Cardio_peak_freq_24hr,170,183/VHGOa(DUPLICATE),100.6054885,103.7315436,145.4026419,0,1.647083638
171,Cardio_peak_freq_24hr,171,168/SRGO(DUPLICATE),102.7246981,112.2192394,142.2538257,0,1.653449335
172,Cardio_peak_freq_24hr,172,1*2*4-Trimethylbenzene(DUPLICATE),96.61772844,98.87695749,119.0979161,107.863923,0.304031054
173,Cardio_peak_freq_24hr,173,Benz(a)anthracene(DUPLICATE),103.2032293,103.7002237,129.949221,0,1.613806671
174,Cardio_peak_freq_24hr,174,1*2*4*5-Tetramethylbenzene(DUPLICATE),101.3118917,99.94183445,98.50950268,102.0716414,2
175,Cardio_peak_freq_24hr,175,1-Methylnaphthalene(DUPLICATE),98.57742765,101.7583893,101.4161022,103.5682117,2
176,Cardio_peak_freq_24hr,176,Fluoranthene(DUPLICATE),95.72902764,102.6666667,99.84169413,120.6401995,1.68454802
177,Cardio_peak_freq_24hr,177,Propylbenzene(DUPLICATE),96.38985644,105.8299776,101.6825405,118.5893439,1.388376784
178,Cardio_peak_freq_24hr,178,Anthracene(DUPLICATE),104.2058661,121.9910515,107.9801728,130.5064782,-0.952131633
179,Cardio_peak_freq_24hr,179,Biphenyl(DUPLICATE),100.9017221,114.0671141,105.0009083,120.1413428,-0.299479523
180,Cardio_peak_freq_24hr,180,p-Cymene(DUPLICATE),94.31622123,107.8344519,106.7690897,119.7256288,0.674690406
181,Cardio_peak_freq_24hr,181,Fluorene(DUPLICATE),97.07347244,111.4675615,109.7483542,115.0696321,-0.160264256
182,Cardio_peak_freq_90min,1,016/kerosine,78.93058896,89.97905937,100.3312355,219.0572696,1.249682595
183,Cardio_peak_freq_90min,2,118/OLBO,79.50481943,94.19435169,95.9589268,120.8940447,1.697448452
184,Cardio_peak_freq_90min,3,1*2*4-Trimethylbenzene,81.77563995,98.09270474,106.9228221,110.1971883,1.343406683
